_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,chilometraggio,Immatricolazione,address,Utilizzo,# Proprietari,Transmission,Fuel,l/100km,Emissions,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29
"ObjectId(""5efedfc00a8d30ca5d74c854"")",f00afbfa-ed18-4def-be9b-83fd3b1e792e,https://www.autoscout24.it/annunci/tesla-model-s-85-performance-supercharger-gratis-a-vita-elettrica-blu-azzurro-f00afbfa-ed18-4def-be9b-83fd3b1e792e?cldtidx=19&cldtsrc=listPage,Tesla Model S,85 performance supercharger gratis a vita,€ 41.900,188.000,02/2014,441 kW (600 CV),Usato,1,Automatico,Elettrica,-/-,"0 g CO2/km (comb.) 4""]",LF Auto srl,IT,42021 Barco di Bibbiano - Reggio Emilia,,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c856"")",47a273a9-9658-157a-e053-0100007f27b7,https://www.autoscout24.it/annunci/tesla-model-x-100-d-elettrica-nero-47a273a9-9658-157a-e053-0100007f27b7?cldtidx=1&cldtsrc=listPage,Tesla Model X,100 D,€ 84.000,34.000,09/2018,158 kW (215 CV),Usato,1,Automatico,Elettrica,-/-,"0 g CO2/km (comb.) 1""]",Privato, ,IT,20010 Bareggio,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c857"")",00215ec6-012d-41de-8ac3-c3387ff5c4a7,https://www.autoscout24.it/annunci/tesla-model-3-2019-tetto-full-opt-elettrica-rosso-00215ec6-012d-41de-8ac3-c3387ff5c4a7?cldtidx=17&cldtsrc=listPage,Tesla Model 3,2019 TETTO FULL OPT,€ 49.800,12.300,06/2019,225 kW (306 CV),Usato,1,Automatico,Elettrica,-/-,0 g CO2/km (comb.) 4,"14 kWh/100 km (comb.) 4""]",Privacar - Padova,IT,35010 Limena - Padova - PD,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c86b"")",63c965a9-022e-bd6a-e053-0100007f832a,https://www.autoscout24.it/annunci/tesla-model-s-85d-autopilot-1-4x4-free-supercharger-elettrica-nero-63c965a9-022e-bd6a-e053-0100007f832a?cldtidx=2&cldtsrc=listPage,Tesla Model S,85D, AUTOPILOT 1, FREE SUPERCHARGER,€ 54.000,- 1,"[""150.000 km",03/2016,135 kW (184 CV),Usato,-/- (Proprietari),Automatico,Elettrica,-/- (l/100 km),"0 g CO2/km (comb.) 3""]",Privato, ,IT,50100 Firenze,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c86f"")",46e594aa-4017-4bf2-a8ef-2cd66bb8e046,https://www.autoscout24.it/annunci/tesla-model-3-long-range-2018-full-optional-elettrica-beige-46e594aa-4017-4bf2-a8ef-2cd66bb8e046?cldtidx=6&cldtsrc=listPage,Tesla Model 3,LONG RANGE 2018 FULL OPTIONAL,€ 47.800,11.112,07/2018,254 kW (345 CV),Usato,1,-/- (Tipo di cambio),Elettrica,-/-,0,"18 kWh/100 km (comb.) 3""]",Privacar - Padova,IT,35010 Limena - Padova - PD,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c876"")",63f06f14-a50c-4a2d-9c61-b2110f8e6637,https://www.autoscout24.it/annunci/tesla-model-s-p100dl-pelle-beige-full-opt-elettrica-nero-63f06f14-a50c-4a2d-9c61-b2110f8e6637?cldtidx=13&cldtsrc=listPage,Tesla Model S,P100DL PELLE BEIGE FULL OPT,€ 84.500,49.900,01/2018,568 kW (772 CV),Usato,1,Automatico,Elettrica,-/-,0,"18 kWh/100 km (comb.) 3""]",Privacar - Padova,IT,35010 Limena - Padova - PD,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c87e"")",490323b2-e651-4b7d-b26c-171626879a1a,https://www.autoscout24.it/annunci/tesla-model-s-90-d-super-charge-tetto-full-opt-elettrica-nero-490323b2-e651-4b7d-b26c-171626879a1a?cldtidx=16&cldtsrc=listPage,Tesla Model S,90 D SUPER CHARGE TETTO FULL OPT,€ 57.500,99.900,04/2016,320 kW (435 CV),Usato,1,Automatico,Elettrica,-/-,0,"18 kWh/100 km (comb.) 3""]",Privacar - Padova,IT,35010 Limena - Padova - PD,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c8dc"")",6cd501a9-6cd2-ba36-e053-0100007fae4e,https://www.autoscout24.it/annunci/tesla-model-3-standard-rance-pluss-con-autopilot-completo-elettrica-blu-azzurro-6cd501a9-6cd2-ba36-e053-0100007fae4e?cldtidx=14&cldtsrc=listPage,Tesla Model 3,standard rance pluss / con autopilot completo,€ 50.000,15.000,05/2019,220 kW (299 CV),Usato,-,-/- (Tipo di cambio),Elettrica,-/-,"0 g CO2/km (comb.) 2""]",VA Cars snc di Vitileia A & C,IT,65010 Collecorvino - Pe,,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c8e7"")",4f25faa8-0f4a-0b19-e053-0100007f5374,https://www.autoscout24.it/annunci/tesla-model-s-100d-elettrica-rosso-4f25faa8-0f4a-0b19-e053-0100007f5374?cldtidx=5&cldtsrc=listPage,Tesla Model S,100d,€ 70.000,65.000,12/2017,331 kW (450 CV),Usato,-,-/- (Tipo di cambio),Elettrica,-/-,"0 g CO2/km (comb.) 2""]",Privato, ,IT,83028 avellino,,,,,,,,,
"ObjectId(""5efedfc00a8d30ca5d74c8e8"")",82d65971-7a77-4a65-992e-e18fc07857f5,https://www.autoscout24.it/annunci/tesla-model-3-long-range-rwd-elettrica-nero-82d65971-7a77-4a65-992e-e18fc07857f5?cldtidx=6&cldtsrc=listPage,Tesla Model 3,Long Range RWD,€ 56.500,9.800,01/2020,153 kW (208 CV),Usato,-,Manuale,Elettrica,-/-,"0 g CO2/km (comb.) 2""]",Sky Car Srl,IT,06034 Foligno - Perugia - Pg,,,,,,,,,,
