_id,id_annuncio,link_annuncio,vehicle,vehicle_user_desc,asking_price,vehicle_data,seller,country,address
ObjectId("5eff3b6c156a97c639b6f7b3"),084037c1-3fbe-48ce-b5b2-f1a278522e22,https://www.autoscout24.it/annunci/smart-fortwo-electric-drive-coupe-elettrica-nero-084037c1-3fbe-48ce-b5b2-f1a278522e22?cldtidx=1&cldtsrc=listPage,smart forTwo,electric drive coupé,€ 9.000,- 12,"["28.015 km","02/2014","35 kW (48 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Unique Car Srl,IT,00166 Roma - Rm
ObjectId("5eff3b6c156a97c639b6f7b4"),9dc886a9-480b-d914-e053-0100007f3eeb,https://www.autoscout24.it/annunci/smart-fortwo-eq-edition-one-22kw-elettrica-grigio-9dc886a9-480b-d914-e053-0100007f3eeb?cldtidx=2&cldtsrc=listPage,smart forTwo,EQ Edition One (22kW),€ 31.900,- 2,"["10 km","07/2020","41 kW (56 CV)","Usato","-/- (Proprietari)","-/- (Tipo di cambio)","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",New Car srl,IT,20122 Milano - MI
ObjectId("5eff3b6c156a97c639b6f7b5"),36179b32-ce8a-490a-9ac0-4135dc143a5c,https://www.autoscout24.it/annunci/volkswagen-up-elettrica-grigio-36179b32-ce8a-490a-9ac0-4135dc143a5c?cldtidx=3&cldtsrc=listPage,Volkswagen up!,,€ 12.600,- 12,"["35.000 km","07/2015","60 kW (82 CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Grimaldi Motors Srl,IT,20141 Milano
ObjectId("5eff3b6c156a97c639b6f7b6"),7b2985a9-bc13-3b49-e053-0100007fcf0b,https://www.autoscout24.it/annunci/renault-twizy-80-technic-elettrica-bianco-7b2985a9-bc13-3b49-e053-0100007fcf0b?cldtidx=5&cldtsrc=listPage,Renault Twizy,80 Technic,€ 5.500,-,"["27.389 km","06/2012","8 kW (11 CV)","Usato","-/- (Proprietari)","-/- (Tipo di cambio)","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Privato, ,IT,20900 Monza
ObjectId("5eff3b6c156a97c639b6f7b7"),2587ee6d-6d0e-48a2-86f7-ca85503b369c,https://www.autoscout24.it/annunci/smart-fortwo-electric-drive-passion-elettrica-argento-2587ee6d-6d0e-48a2-86f7-ca85503b369c?cldtidx=4&cldtsrc=listPage,smart forTwo,electric drive Passion,€ 14.890,- 12,"["22.340 km","01/2018","41 kW (56 CV)","Aziendale","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Automilano Srl,IT,22070 Grandate - CO
ObjectId("5eff3b6c156a97c639b6f7b8"),ce0193ba-0632-4c4b-b369-d40ebdd8f48a,https://www.autoscout24.it/annunci/peugeot-ion-active-elettrica-bianco-ce0193ba-0632-4c4b-b369-d40ebdd8f48a?cldtidx=7&cldtsrc=listPage,Peugeot iOn,Active,€ 13.500,- 2,"["9.550 km","10/2017","35 kW (48 CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Autoleone 2 Srl & Lancar Spa,IT,10092 Beinasco - Torino - To
ObjectId("5eff3b6c156a97c639b6f7b9"),9074bb95-8f77-48a6-875f-e362562b71a7,https://www.autoscout24.it/annunci/smart-forfour-eq-electric-drive-prime-elettrica-bianco-9074bb95-8f77-48a6-875f-e362562b71a7?cldtidx=8&cldtsrc=listPage,smart forFour,EQ Electric Drive Prime,€ 16.900,- 12,"["16.985 km","12/2018","41 kW (56 CV)","Aziendale","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Desacar Snc di Pilastro Fabio & C.,IT,21043 Castiglione Olona - Varese - Va
ObjectId("5eff3b6c156a97c639b6f7ba"),04ad05b0-97eb-4732-a7d5-3ee56a2da323,https://www.autoscout24.it/annunci/volkswagen-up-e-5p-my20-elettrica-grigio-04ad05b0-97eb-4732-a7d5-3ee56a2da323?cldtidx=9&cldtsrc=listPage,Volkswagen up!,e- 5p my20,€ 17.800,- 12,"["1 km","01/2020","60 kW (82 CV)","Usato","1 proprietario","Automatico","Elettrica","-/- (l/100 km)","127 g CO2/km (comb.) 4"]",Eurocar Italia Srl,IT,33100 Udine - Ud
ObjectId("5eff3b6c156a97c639b6f7bb"),be59766e-2dac-40d0-9072-59782d6952ab,https://www.autoscout24.it/annunci/audi-e-tron-spb-55-quattro-s-line-edition-elettrica-be59766e-2dac-40d0-9072-59782d6952ab?cldtidx=10&cldtsrc=listPage,Audi e-tron,SPB 55 quattro S line edition,€ 118.860,- 12,"["- km","-/- (Anno)","300 kW (408 CV)","Nuovo","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Frav Srl,IT,36077 Altavilla Vicentina - Vicenza
ObjectId("5eff3b6c156a97c639b6f7bc"),c7861535-b64b-45a2-8f74-6d157046e451,https://www.autoscout24.it/annunci/nissan-leaf-i-leaf-tekna-30kw-109cv-my17-elettrica-bianco-c7861535-b64b-45a2-8f74-6d157046e451?cldtidx=11&cldtsrc=listPage,Nissan Leaf,I leaf Tekna 30kW 109cv my17,€ 17.900,- 12,"["12.000 km","06/2017","- kW (- CV)","Usato","-/- (Proprietari)","Automatico","Elettrica","-/- (l/100 km)","0 g CO2/km (comb.) 4"]",Comer Sud Spa,IT,95100 Misterbianco - Catania - Ct
